"term","estimate","std.error","statistic","p.value","dependent"
"review_period_dummy:proximity",-0.127838667133654,0.31017979083014,-0.412143766012342,0.680314868229889,"WC"
"review_period_dummy:proximity",0.096909232511372,0.122889371076892,0.78858921371431,0.430523141462564,"Analytic"
"review_period_dummy:proximity",-0.0611972384594074,0.138055499497992,-0.443279975675998,0.657650962532017,"Clout"
"review_period_dummy:proximity",0.262826719260957,0.163460258998501,1.60789369153861,0.108147265272387,"Authentic"
"review_period_dummy:proximity",-0.205678074332644,0.158351809320455,-1.29886785137021,0.194263225477348,"Tone"
"review_period_dummy:proximity",0.0248384294155232,0.046012872832366,0.53981479283014,0.589434721863697,"AllPunc"
"review_period_dummy:proximity",-0.00424552989583002,0.0161896612357539,-0.262237105150417,0.793188062561743,"Drives"
"review_period_dummy:proximity",0.0263521257470731,0.0304256401699719,0.86611573659117,0.386616773038143,"Cognition"
"review_period_dummy:proximity",-0.0378820506157395,0.0268558642900105,-1.41056903649273,0.158656257714439,"Affect"
"review_period_dummy:proximity",-0.0171506453539718,0.0267553356884836,-0.641017760108091,0.521645522691744,"Social"
"review_period_dummy:proximity",0.00393960153488939,0.00515344624246998,0.764459615863034,0.444758399037021,"Culture"
"review_period_dummy:proximity",0.0141819970413049,0.0148938675621718,0.952203783342687,0.341204160394318,"Lifestyle"
"review_period_dummy:proximity",-0.00257684697516435,0.0185824556441412,-0.13867096063683,0.889735710552783,"Physical"
"review_period_dummy:proximity",0.0246410631726281,0.0209334703863224,1.17711314549775,0.239406614292333,"Perception"
"review_period_dummy:proximity",0.0155048627068588,0.00943026022279538,1.64416064250057,0.100430595057654,"States"
"review_period_dummy:proximity",-0.0183228994509481,0.0232228573775037,-0.789002798109493,0.430281478048633,"Motive"
"review_period_dummy:proximity",-2.75832088846706e-05,0.030513257741204,-0.000903974564715954,0.9992788977051,"Timeorientation"
"review_period_dummy:proximity",-0.00839306913737694,0.00639497475452702,-1.3124475794741,0.189644692114991,"stars"
