"business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","distance_km"
"CF33F8-E6oudUQ46HnavjQ","Sonic Drive-In","615 S Main St","Ashland City","TN","37015",36.269593,-87.058943,2,6,1,28.7393761620073
"bBDDEgkFA1Otx9Lfe7BZUQ","Sonic Drive-In","2312 Dickerson Pike","Nashville","TN","37207",36.2081024,-86.7681696,1.5,10,1,13.8066960353932
"4iRzR7OaS-QaSXuvYxEGKA","Super Dog","1160 Gallatin Pike S","Nashville","TN","37115",36.2485696,-86.7199857,4,6,0,19.7407445159387
"tMkwHmWFUEXrC9ZduonpTg","The Green Pheasant","215 1st Ave S","Nashville","TN","37201",36.1598858,-86.7731974,4,161,0,8.80391999195594
"sqSqqLy0sN8n2IZrAbzidQ","Domino's Pizza","3001 Highway 31 W","White House","TN","37188",36.4647467622,-86.6591868908,3.5,8,1,43.9876042451161
"lk9IwjZXqUMqqOhM774DtQ","Caviar & Bananas","2031 Broadway","Nashville","TN","37203",36.1483712,-86.7988947,3.5,159,0,6.607903715576
"oaboaRBUgGjbo2kfUIKDLQ","Mike's Ice Cream","129 2nd Ave N","Nashville","TN","37201",36.1626492,-86.7759733,4.5,593,1,8.93824416189977
"qFX8IdomeBVhDPCSyz2aRg","Nashville Delivers","6591 Bluff Rd","Brentwood","TN","37027",36.002397,-86.7023814,3.5,7,1,14.9918947454637
"VZzivJEbmHItOxNXJB3SpA","Subway","330 Franklin Rd, Ste 900-d","Brentwood","TN","37027",36.0263631408,-86.7894728157,2.5,14,1,8.10327438307812
"txiXR1YfMyk-5S4ZzOVIhQ","Advance Financial","2845 Lebanon Pike","Nashville","TN","37214",36.1676590439,-86.6582959,2,7,1,17.1791312698665
"yv6kSKxDdZTsvHL25K-U2g","Nash Painting","471 Chestnut St","Nashville","TN","37203",36.142642,-86.7708619,4.5,45,1,7.39319094509934
"X_E7U2lVNEwbH_gpOBmAHQ","Cerveza Jack's","135 2nd Ave N","Nashville","TN","37201",36.162799,-86.776016,4,182,1,8.95078805496864
