"term","estimate","std.error","statistic","p.value","dependent"
"review_period_dummy:proximity",0.0506361868770966,0.298159076476112,0.169829432917342,0.865171199627609,"WC"
"review_period_dummy:proximity",0.213463620381349,0.105275227942428,2.02767188970691,0.0428012210922952,"Analytic"
"review_period_dummy:proximity",0.0158113648258368,0.122117258526464,0.129476906185298,0.897000703350701,"Clout"
"review_period_dummy:proximity",0.197867170800348,0.134228868649315,1.47410294664178,0.140700533625685,"Authentic"
"review_period_dummy:proximity",-0.0622776325035214,0.131846438065196,-0.47234975337541,0.636757934807335,"Tone"
"review_period_dummy:proximity",0.00203351132244524,0.0375097711852523,0.0542128426324487,0.956774075225385,"AllPunc"
"review_period_dummy:proximity",-0.00165479857625758,0.0147366291724561,-0.112291525890502,0.910609922562176,"Drives"
"review_period_dummy:proximity",0.0124461907337668,0.0261305729104503,0.476307610109432,0.633936789949633,"Cognition"
"review_period_dummy:proximity",-0.032701601198138,0.0218389784130537,-1.49739610432471,0.13453753639604,"Affect"
"review_period_dummy:proximity",-0.00773444556487143,0.0222262434759426,-0.347987079923923,0.727907284005421,"Social"
"review_period_dummy:proximity",0.00668893888686891,0.00449922262677457,1.48668768846056,0.137344356821317,"Culture"
"review_period_dummy:proximity",0.0075153224502405,0.0131394798583692,0.571964988816023,0.567446438729926,"Lifestyle"
"review_period_dummy:proximity",-0.00963331219808629,0.0141326825294676,-0.681633665654076,0.495594316612185,"Physical"
"review_period_dummy:proximity",0.018202433060242,0.0182577227751419,0.996971708050295,0.318967262989659,"Perception"
"review_period_dummy:proximity",0.0120501359856675,0.00858288752454384,1.40397225889407,0.160570444045252,"States"
"review_period_dummy:proximity",-0.0191648699681145,0.0190769647941559,-1.00460792242933,0.315276147510486,"Motive"
"review_period_dummy:proximity",0.00296107643286551,0.0257850964389308,0.114836740668335,0.908592594151026,"Timeorientation"
